Tweet Description,Date,Favorite Count,Retweet Count,Sentiment
"Donald Trump: ""Megan should win first before she talks""

Megan Rapinoe: https://t.co/0P9RXzxPeW",2019-07-07,292579,46638,0.525
"At Epstein’s party In 1994 Trump “ raped a 13-yr-old girl -in what was a ""savage sexual attack,"" according to 2016 lawsuit filed by ""Jane Doe”  corroborated by witness who claimed to have watched as the child performed sexual acts on Trump &amp; Epstein  https://t.co/fqgpiqnzEU",2019-07-07,19026,13439,0.5
"Michelle Obama said the night before Donald Trump’s inauguration was ‘very emotional.’

I agree, the night before the inauguration was emotional…

Americans were extremely happy!",2019-07-07,19572,3593,0.5
"Victims lawyer in 2009 Epstein Case Said Donald Trump Was the ONLY ONE Who Helped Him

This is true. I know the lawyer Brad Edwards. He was a Broward County prosecutor before civily repping the victims. 

He told me same about Trump back then.  https://t.co/8QqQRpgKxY",2019-07-07,7221,4021,0.0875
"Donald Trump has fulfilled nearly every campaign promise he made in 2016:

Wall being built

Economy booming

ISIS defeated

Imagine what he will accomplish in 2 terms!

Subscribe to my podcast &amp; help get President Trump re-elected! https://t.co/WEF2fpBQaY https://t.co/GYnFN5NCGa",2019-07-07,7642,2981,0.15625
"The emerging oligarchy feels safer if people split along the old “left” vs.“right” battle lines, so they won’t notice they’re being shafted and won't join together to fight. But make no mistake: The real divide is between democracy and oligarchy. 

https://t.co/wGcBMZmZAk",2019-07-07,7776,4051,0.1464285714285714
"“I’ve known Jeff for 15 years. Terrific guy.He’s a lot of fun to be with. It is even said that he likes beautiful women as much as I do, and many of them are on the younger side.” Donald J. Trump https://t.co/r3NxEK5uT0",2019-07-07,4021,1879,0.3083333333333333
"An hour after the World Cup ended, Donald Trump still has not tweeted his congratulations to ⁦@USWNT⁩. Melania has, but not the U.S. President. He picked the wrong side on this one. In the battle of Trump vs. ⁦@mPinoe⁩, she won, unequivocally. https://t.co/KXDQRmLbX7",2019-07-07,5006,691,-0.5
"Here's the rest of the story Padma:

2009: The attorney who represented the victims of billionaire Jeffrey Epstein’s sexual assault said the only person that helped him was Donald Trump.

2019: Trump's DoJ Southern District of NY arrested Epstein July 6.
https://t.co/qs0ueh0sch https://t.co/fEbrl8qmEE",2019-07-07,1439,1070,0.16666666666666666
"In 2016, Vice News and Fusion GPS tried to tie Donald Trump to Jeffrey Epstein’s crimes

They could not  https://t.co/fN9lXlEhU3",2019-07-07,2334,989,0.0
"Furious ⁦@HomeDepot⁩ shoppers say they're boycotting the store and cutting up their cards after one of the home-improvement retailer's founders said he'd donate some of his fortune to Trump's reelection campaign.
#BoycottHomeDepot  https://t.co/kWKX33Si9U",2019-07-08,23217,10917,-0.6
"Tonight, Donald Trump will have three friends (at the least) in jail.",2019-07-08,31411,5852,-0.2
"If we don't defeat Donald Trump, the character of this nation will be fundamentally and forever altered. https://t.co/ZgULt8Y47v",2019-07-08,17064,3118,0.0
"We underestimated Donald Trump once. We must not do it again.

Yes, he's unhinged.
Yes, he's a racist.
Yes, he's a liar.

None of that stopped him the first time.",2019-07-08,15250,3619,0.25
"Eric Swalwell: “I can beat Donald Trump.”

Also Eric Swalwell: “Today ends our campaign.” https://t.co/LNzhcdB2PI",2019-07-08,16269,3290,0.0
"Nancy Pelosi colluded with Syria by meeting with Assad in '07

Ted Kennedy colluded with the Soviet Union to rig the election against Reagan in 1984

John Kerry is colluding with Iran right now!

The media doesn't care about collusion

They only care about destroying Donald Trump",2019-07-08,24897,9254,0.05238095238095236
"Tommy Robinson is set to ask President Donald Trump to give him emergency political asylum in the United States.

https://t.co/DlcbOX85Aa",2019-07-08,15233,5685,0.0
Melania Trump reportedly told Donald that Christine Blasey Ford was 'lying' https://t.co/q8zBfHNkYk via @nypost,2019-07-08,9165,2016,0.0
"Scott Dworkin has images of Epstein’s little black book, which was leaked by an employee and shows he had 16 ways to contact Donald Trump. Melania, Robert Trump, Blaine Trump, Ivana Trump and Ivanka Trump were also in the black book. #JeffreyEpsteinArrest https://t.co/8faWMsXKEb",2019-07-08,4655,2977,-0.17361111111111108
.@AP Exclusive: A federal grand jury in New York is investigating whether top Republican fundraiser Elliott Broidy used his position as vice chair of President Donald Trump’s inaugural committee to drum up foreign business deals. https://t.co/hFjj6xR1kk,2019-07-08,7297,4340,0.25284090909090906
"How is it that so many utterly corrupt men have not just crossed paths with Donald Trump, but were also his friends, allies, and ultimately, in his campaign and his administration?  Ugh, the slime!! The swamp?  He brought an entire BOG with him!! https://t.co/XOlmKLpYCX",2019-07-09,72927,17091,0.0
"""I've known Jeff (Epstein) for 15 years. Terrific guy. He's a lot of fun to be with. It is even said that he likes beautiful women as much as I do, and many of them are on the younger side."" - Donald J. Trump https://t.co/ib4l6rXlKA",2019-07-09,50213,13217,0.3083333333333333
"Fox News not only cut into Trump’s speech on Monday but also fact-checked him on live TV. Trump tried to tout his environmental record, but Shepard Smith interrupted to say those policies have been “widely criticized by environmentalists and academics.”  https://t.co/dOPk3hh8Ja",2019-07-09,17260,5354,0.012121212121212116
"""It is the perverse good fortune of Alexander Acosta, Donald Trump’s secretary of labor, to be part of an administration so spectacularly corrupt that it's simply impossible to give all its scandals the attention they deserve."" https://t.co/l910J3v9VH",2019-07-09,8035,3245,-0.15555555555555556
"Donald Trump is having one of his high-intensity tweet days were the crazy is coming off him in waves.

He's shook.",2019-07-09,19874,3392,-0.6
Donald Trump is a rapist #sexTrafficking https://t.co/tquWoXZGFY,2019-07-09,7536,3240,0.0
Best-selling author James Patterson on the Jeffrey Epstein case as it relates to President Donald Trump: “There were some complaints about Epstein at Mar-a-Lago. I spoke to the head of the spa there. ... She said she went to Trump and he threw [Epstein] out of the club.” https://t.co/kNDK4MdrEd,2019-07-09,18349,7817,0.0
"Neither Bill Clinton nor Donald Trump have been implicated in this #epsteinindictment but-

If Clinton was found to have abused girls w/Epstein, his base would reject him.

If Trump was found to have abused girls w/Epstein, his base would reject the findings.",2019-07-09,19349,4593,-0.6666666666666666
"Congratulations to Donald Trump for getting slammed by Mick Jagger, Jimmy Carter, Bette Midler, Megan Rapinoe, Ozzy Osbourne, and the Dalai Lama in the past ten days.",2019-07-09,15266,3079,-0.125
"This quote from Liza Burkin—a Jewish woman arrested for protesting US Gov'ts Concentration Camps—made me gasp. Painfully on point.

“We are focused way too much on the end of the Holocaust, &amp; not as much on the beginning. And this is directly comparable.”
https://t.co/httIprfADY",2019-07-09,12010,5088,-0.03999999999999999
It is shameful that Kim Darroch has effectively been forced out for doing the job that diplomats are appointed to do. Boris Johnson’s failure last night to stand up for him - and stand up to the behaviour of Donald Trump - spoke volumes. https://t.co/Cd3Emwmysn,2019-07-10,23153,5211,-0.0041666666666666935
"Boris Johnson’s refusal to support Kim Darroch shows he won’t stand up to Donald Trump, or stand up for Britain. Johnson wants a sweetheart trade deal with Trump that would open our NHS to US corporate takeover. I'll never let another country's leader choose who represents the UK",2019-07-10,20852,5634,0.06666666666666667
"“It was supposed to be an exclusive party at Mar-a-Lago, Donald J. Trump’s members-only club in Palm Beach, Fla. But other than the two dozen or so women flown in to provide the entertainment, the only guests were Mr. Trump and Jeffrey Epstein.” https://t.co/Mg1eBP3Nys",2019-07-10,10652,6963,-0.0625
"Facebook interfered in Ireland’s abortion vote.

Barack Obama interfered in Israeli elections.

Hillary Clinton colluded with the Russians.

There’s a pattern here and it isn’t Donald Trump.",2019-07-10,15527,5719,0.0
"Alexa, please explain the relationship between Boris Johnson and Donald Trump. https://t.co/EuM36G9BUP",2019-07-10,22245,5272,0.0
".@AOC just asked a mom who lost her baby if ICE detention was cruel. 

She said: ICE officials asked her why she was in the US saying ""You know that this is country of Americans, that the president is Donald Trump, that we can take your daughter, and we can put you in jail.""",2019-07-10,23106,7351,-0.55
"""Your message is excluding people. You're excluding me. You're excluding people that look like me. You're excluding people of color. You're excluding... Americans that maybe support you.""

USWNT co-captain Megan Rapinoe's message to Pres. Trump. https://t.co/MME9lAZEp9 https://t.co/YMRZKe4538",2019-07-10,33811,8033,0.0
